Dataset,LLM,Method,R@1,R@5,R@10,R@100,Mean_Rank,Median_Rank,MRR,Improvement_Rate,No_Degradation_Rate,Degradation_Rate,Absolute_Amelioration,Relative_Amelioration,Mean_Normalized_Log_Rank_Ratio
COCO,mistral:7b,Baseline,0.0,0.022,0.037,0.102,495.877,499.5,0.014378148120462526,0.0,1.0,0.0,0.0,0.0,0.0
COCO,mistral:7b,Structured,0.007,0.031,0.047,0.178,856.938,487.5,0.02302625321918543,0.455,0.462,0.538,254.2923076923077,0.499011163857197,-0.01887467404303641
COCO,mistral:7b,Unstructured,0.004,0.018,0.03,0.148,1059.844,571.5,0.014940895233443335,0.393,0.397,0.603,243.96946564885496,0.4609200934505483,-0.06993743733284279
COCO,gemma3:4b,Baseline,0.0,0.022,0.037,0.102,495.877,499.5,0.014378148120462526,0.0,1.0,0.0,0.0,0.0,0.0
COCO,gemma3:4b,Structured,0.007,0.023,0.035,0.168,863.627,492.0,0.020070908510258473,0.459,0.47,0.53,242.15468409586057,0.4744727645196377,-0.02452994040087492
COCO,gemma3:4b,Unstructured,0.002,0.012,0.027,0.141,833.907,505.5,0.013392607532800957,0.403,0.436,0.564,224.31265508684862,0.43042017825591555,-0.053614435345742596
COCO,gemma3:27b,Baseline,0.0,0.022,0.037,0.102,495.877,499.5,0.014378148120462526,0.0,1.0,0.0,0.0,0.0,0.0
COCO,gemma3:27b,Structured,0.007,0.031,0.04,0.194,672.022,387.0,0.022264677209229845,0.51,0.515,0.485,246.41176470588235,0.4911709770945263,0.008231421283381007
COCO,gemma3:27b,Unstructured,0.005,0.022,0.04,0.177,794.25,439.5,0.01838775238039134,0.467,0.477,0.523,242.31477516059957,0.47605884797036535,-0.020671500771458462
Flickr,mistral:7b,Baseline,0.0,0.06822810590631365,0.1120162932790224,1.0,48.83706720977597,49.0,0.052570104479992025,0.0,1.0,0.0,0.0,0.0,0.0
Flickr,mistral:7b,Structured,0.035641547861507125,0.12321792260692464,0.1955193482688391,0.7209775967413442,141.93890020366598,42.0,0.09302067932119304,0.4684317718940937,0.48778004073319753,0.5122199592668024,27.567391304347826,0.5436337444310773,-0.06213991283263896
Flickr,mistral:7b,Unstructured,0.03054989816700611,0.1079429735234216,0.17413441955193482,0.7057026476578412,147.4643584521385,46.5,0.08316478583915296,0.4439918533604888,0.45621181262729127,0.5437881873727087,26.130733944954127,0.5217163318900371,-0.09297035890216093
Flickr,gemma3:4b,Baseline,0.0,0.069,0.112,1.0,49.318,49.5,0.05243649759960493,0.0,1.0,0.0,0.0,0.0,0.0
Flickr,gemma3:4b,Structured,0.032,0.126,0.202,0.761,142.843,40.0,0.09370288614090472,0.504,0.533,0.467,27.140873015873016,0.5314016391573001,-0.02542199323802683
Flickr,gemma3:4b,Unstructured,0.015,0.102,0.162,0.745,123.593,49.0,0.0726453025230649,0.381,0.51,0.49,24.446194225721786,0.48679397097634075,-0.07075276543354578
Flickr,gemma3:27b,Baseline,0.0,0.06906906906906907,0.1111111111111111,1.0,49.36136136136136,50.0,0.052322153086024274,0.0,1.0,0.0,0.0,0.0,0.0
Flickr,gemma3:27b,Structured,0.023023023023023025,0.11611611611611612,0.1981981981981982,0.7927927927927928,93.3903903903904,38.0,0.08911518301461693,0.5365365365365365,0.5595595595595596,0.44044044044044045,26.296641791044777,0.5067482648762757,-0.0022061674256765723
Flickr,gemma3:27b,Unstructured,0.02902902902902903,0.12512512512512514,0.1981981981981982,0.7787787787787788,92.63363363363364,42.0,0.09265933064455328,0.5045045045045045,0.5265265265265265,0.47347347347347346,25.69047619047619,0.5110179608050586,-0.0011642436156875718
VizWiz,mistral:7b,Baseline,0.0,0.03303303303303303,0.05105105105105105,0.1011011011011011,494.62462462462463,501.0,0.018434699294615838,0.0,1.0,0.0,0.0,0.0,0.0
VizWiz,mistral:7b,Structured,0.03903903903903904,0.08608608608608609,0.10710710710710711,0.2722722722722723,1136.5925925925926,344.0,0.06439955296330659,0.4994994994994995,0.5065065065065065,0.4934934934934935,347.01603206412824,0.6300431419853183,0.0036347654062491752
VizWiz,mistral:7b,Unstructured,0.044044044044044044,0.08308308308308308,0.10710710710710711,0.2682682682682683,1206.0870870870872,359.0,0.06802172712423361,0.5075075075075075,0.5125125125125125,0.4874874874874875,335.20710059171597,0.6208453209851066,0.004082815180945796
VizWiz,gemma3:4b,Baseline,0.0,0.033,0.051,0.101,494.403,500.0,0.018419927598984226,0.0,1.0,0.0,0.0,0.0,0.0
VizWiz,gemma3:4b,Structured,0.039,0.086,0.109,0.275,1073.065,315.5,0.06407674155967201,0.516,0.56,0.44,322.7248062015504,0.6008084379200835,0.012680050120398625
VizWiz,gemma3:4b,Unstructured,0.039,0.086,0.108,0.276,947.784,323.5,0.06557499938202367,0.486,0.59,0.41,332.2489711934156,0.6208538555189651,0.029218957585740238
VizWiz,gemma3:27b,Baseline,0.0,0.033,0.051,0.101,494.403,500.0,0.018419927598984226,0.0,1.0,0.0,0.0,0.0,0.0
VizWiz,gemma3:27b,Structured,0.044,0.095,0.126,0.301,970.833,268.5,0.07426020300744858,0.571,0.58,0.42,333.8598949211909,0.6280476810946048,0.046999364935597795
VizWiz,gemma3:27b,Unstructured,0.046,0.09,0.119,0.315,905.481,289.5,0.07383070224219075,0.566,0.578,0.422,335.595406360424,0.6328593130838597,0.058885865200525404
