Dataset,LLM,Method,Num_Images,Avg_Num_Relevant,R@1,R@5,R@10,R@100,Mean_Rank,Median_Rank,MRR,Improvement_Rate,No_Degradation_Rate,Raw_Progression_Mean,Raw_Progression_Median,Relative_Progression_Mean,Relative_Progression_Median,Amelioration_Mean,Amelioration_Median,Degradation_Mean,Degradation_Median,Mean_nLLR
COCO,mistral:7b,Baseline,996,,0.000000,0.022088,0.037149,0.102410,495.417671,497.500000,0.014429,,,,,,,,,,,
COCO,mistral:7b,RF,996,4.655622489959839,0.004016,0.022088,0.034137,0.138554,979.561245,521.500000,0.017139,0.4427710843373494,0.4497991967871486,-484.14357429718876,-36.5,-1.654789782023814,-0.15764733840304182,197.9251700680272,165.0,-1039.2189781021898,-384.0,-0.047856175337368745
COCO,gemma3:4b,Baseline,1000,,0.000000,0.022000,0.037000,0.102000,495.877000,499.500000,0.014378,,,,,,,,,,,
COCO,gemma3:4b,RF,1000,5.163,0.002000,0.022000,0.034000,0.136000,1020.918000,528.000000,0.015573,0.425,0.436,-525.041,-45.0,-1.907124184370788,-0.16389168132696658,205.58117647058825,167.0,-1085.8386524822695,-370.0,-0.056046004195069304
COCO,gemma3:27b,Baseline,994,,0.000000,0.022133,0.037223,0.101610,495.616700,497.500000,0.014390,,,,,,,,,,,
COCO,gemma3:27b,RF,994,5.601609657947686,0.006036,0.030181,0.038229,0.138833,1026.002012,494.500000,0.019249,0.44969818913480886,0.4567404426559356,-530.3853118712274,-28.0,-1.3072667608694928,-0.10103287031641256,209.26174496644296,160.0,-1149.5240740740742,-393.0,-0.03792914874944944
Flickr,mistral:7b,Baseline,980,,0.000000,0.068367,0.112245,1.000000,49.315306,49.500000,0.052000,,,,,,,,,,,
Flickr,mistral:7b,RF,980,3.573469387755102,0.024490,0.105102,0.160204,0.663265,183.582653,52.000000,0.079291,0.42857142857142855,0.4479591836734694,-134.26734693877552,-6.0,-3.4822358208937993,-0.18133462282398455,23.066666666666666,17.0,-261.1275415896488,-68.0,-0.08671050422747256
Flickr,gemma3:4b,Baseline,1000,,0.000000,0.069000,0.112000,1.000000,49.318000,49.500000,0.052436,,,,,,,,,,,
Flickr,gemma3:4b,RF,1000,4.102,0.030000,0.091000,0.162000,0.663000,183.729000,55.000000,0.077014,0.422,0.44,-134.411,-6.0,-3.123764065383899,-0.24096774193548387,22.49526066350711,17.0,-256.9714285714286,-66.0,-0.09343813252761442
Flickr,gemma3:27b,Baseline,990,,0.000000,0.069697,0.112121,1.000000,49.264646,49.000000,0.052595,,,,,,,,,,,
Flickr,gemma3:27b,RF,990,4.193939393939394,0.036364,0.106061,0.174747,0.682828,174.970707,50.000000,0.086815,0.4585858585858586,0.4707070707070707,-125.7060606060606,-3.0,-2.920070903971945,-0.11658109332527937,22.911894273127754,18.0,-257.34923664122135,-68.0,-0.06337320557445296
VizWiz,mistral:7b,Baseline,951,,0.000000,0.032597,0.050473,0.100946,495.234490,499.000000,0.018247,,,,,,,,,,,
VizWiz,mistral:7b,RF,951,3.1051524710830702,0.033649,0.095689,0.112513,0.251314,1577.491062,411.000000,0.065195,0.4879074658254469,0.4931650893796004,-1082.2565720294426,-3.0,-18.64191550080069,-0.025089605734767026,303.60991379310343,242.0,-2427.5954356846473,-622.5,-0.006646085228068714
VizWiz,gemma3:4b,Baseline,1000,,0.000000,0.033000,0.051000,0.101000,494.403000,500.000000,0.018420,,,,,,,,,,,
VizWiz,gemma3:4b,RF,1000,3.717,0.038000,0.091000,0.114000,0.249000,1594.358000,415.500000,0.064815,0.461,0.467,-1099.955,-10.0,-18.165142752186686,-0.09937371689924898,310.27548806941434,248.0,-2332.067542213884,-604.0,-0.024320084613810397
VizWiz,gemma3:27b,Baseline,990,,0.000000,0.033333,0.051515,0.102020,492.789899,498.500000,0.018585,,,,,,,,,,,
VizWiz,gemma3:27b,RF,990,3.890909090909091,0.041414,0.088889,0.117172,0.255556,1536.472727,415.500000,0.069775,0.48484848484848486,0.48787878787878786,-1043.6828282828283,-3.5,-18.274301520265652,-0.05122482308111051,300.26875,241.0,-2322.2386587771202,-666.0,-0.0201560100776587
