System,R@1,R@5,R@10,R@100,MRR,Mean Rank,Median Rank,Mean Baseline Rank,Median Baseline Rank,Improvement Rate,No Degradation Rate,Raw Progression Mean,Raw Progression Median,Relative Progression Mean,Relative Progression Median,Amelioration Mean,Amelioration Median,Degradation Mean,Degradation Median,Mean Log Rank Ratio,Total Images,Improved,Degraded,Unchanged
baseline,0.0000,0.0690,0.1120,1.0000,0.0524,49.3180,49.5000,49.3180,49.5000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,0,0,1000
average,0.0780,0.2050,0.2890,0.6890,0.1491,264.6320,37.0000,49.3180,49.5000,0.5270,0.5320,-215.3140,2.0000,-7.4617,0.1006,34.2315,30.0000,-498.6197,-104.5000,0.0644,1000,527,468,5
classic_blip_combsum,0.0500,0.1470,0.2310,0.8590,0.1132,85.5190,39.5000,49.3180,49.5000,0.4690,0.4770,-36.2010,-3.0000,-0.5957,-0.0918,30.4989,25.0000,-96.5679,-26.0000,0.2864,1000,469,523,8
classic_blip_rrf,0.0430,0.1730,0.2950,0.8100,0.1205,55.0070,31.0000,49.3180,49.5000,0.4780,0.4810,-5.6890,-3.0000,-0.2814,-0.1319,35.5900,31.0000,-43.7399,-37.0000,0.5314,1000,478,519,3
classic_blip_borda,0.0460,0.1640,0.2710,0.8550,0.1191,204.4210,31.5000,49.3180,49.5000,0.5140,0.5210,-155.1030,2.0000,-2.2274,0.1327,34.1712,32.0000,-360.4739,-32.0000,0.3178,1000,514,479,7
classic_bm25_combsum,0.0340,0.1020,0.1680,0.8100,0.0850,167.7960,48.0000,49.3180,49.5000,0.3530,0.3580,-118.4780,-10.0000,-1.7635,-0.4800,30.6374,26.0000,-201.3910,-27.0000,-0.1942,1000,353,642,5
classic_bm25_rrf,0.0370,0.1580,0.2570,0.7270,0.1055,68.1670,54.0000,49.3180,49.5000,0.3260,0.3310,-18.8490,-22.0000,-0.5196,-0.9231,38.0000,33.5000,-46.6921,-39.0000,0.1415,1000,326,669,5
classic_bm25_borda,0.0350,0.1450,0.2440,0.7850,0.1012,646.7120,47.0000,49.3180,49.5000,0.3820,0.3850,-597.3940,-14.0000,-8.3081,-0.8963,35.9843,34.0000,-993.7236,-37.0000,-0.3849,1000,382,615,3
average_bm25_combsum,0.0730,0.2070,0.2800,0.7510,0.1451,365.4720,38.0000,49.3180,49.5000,0.5250,0.5400,-316.1540,2.5000,-9.3296,0.1000,34.9676,29.0000,-727.2000,-73.5000,0.0570,1000,525,460,15
average_bm25_rrf,0.0590,0.1740,0.2600,0.6950,0.1284,277.0650,41.5000,49.3180,49.5000,0.4790,0.4850,-227.7470,-3.0000,-7.7178,-0.0732,35.7620,31.0000,-475.4893,-92.0000,-0.1344,1000,479,515,6
average_bm25_borda,0.0640,0.1740,0.2740,0.7540,0.1333,673.4330,35.0000,49.3180,49.5000,0.5190,0.5270,-624.1150,3.0000,-20.2184,0.1030,36.2254,32.0000,-1359.2304,-67.0000,-0.1899,1000,519,473,8
classic_blip_bm25_combsum,0.0600,0.1830,0.2650,0.8280,0.1340,130.0500,36.0000,49.3180,49.5000,0.5220,0.5320,-80.7320,1.0000,-1.3232,0.0676,32.4943,28.0000,-208.7479,-37.0000,0.3620,1000,522,468,10
classic_blip_bm25_rrf,0.0630,0.2250,0.3260,0.7920,0.1491,60.8360,25.0000,49.3180,49.5000,0.5590,0.5740,-11.5180,6.5000,-0.4439,0.3005,35.3542,30.0000,-73.4296,-55.5000,0.6787,1000,559,426,15
classic_blip_bm25_borda,0.0530,0.2120,0.3300,0.7970,0.1443,381.5070,25.0000,49.3180,49.5000,0.5830,0.5940,-332.1890,8.5000,-5.1225,0.3742,34.5214,31.0000,-867.7709,-59.0000,0.2754,1000,583,406,11
